pl_name,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
Kepler-424 c,0,12.700,,,0,1.130,,,0,2215.18000,197.05000,-197.05000,0,6.97000,0.62000,-0.62000,0
Kepler-425 b,0,10.962,0.247,-0.247,0,0.978,0.022,-0.022,0,79.45000,25.43000,-25.43000,0,0.25000,0.08000,-0.08000,0
Kepler-426 b,0,12.220,0.340,-0.340,0,1.090,0.030,-0.030,0,108.06000,25.43000,-25.43000,0,0.34000,0.08000,-0.08000,0
Kepler-427 b,0,13.790,2.350,-2.350,0,1.230,0.210,-0.210,0,92.17000,28.60000,-28.60000,0,0.29000,0.09000,-0.09000,0
Kepler-428 b,0,12.110,0.340,-0.340,0,1.080,0.030,-0.030,0,403.63000,60.39000,-60.39000,0,1.27000,0.19000,-0.19000,0
Kepler-43 b,0,13.664,0.729,-0.717,0,1.219,0.065,-0.064,0,1026.59090,82.63580,-82.63580,0,3.23000,0.26000,-0.26000,0
Kepler-430 b,0,3.250,,,0,0.290,,,0,10.60000,,,0,0.03340,,,0
Kepler-430 c,0,1.750,,,0,0.160,,,0,3.71000,,,0,0.01170,,,0
Kepler-431 b,0,0.764,,,0,0.068,,,0,0.37000,,,0,0.00117,,,0
Kepler-431 c,0,0.668,,,0,0.060,,,0,0.22900,,,0,0.00072,,,0
Kepler-431 d,0,1.110,,,0,0.100,,,0,1.41000,,,0,0.00444,,,0
Kepler-432 b,0,12.834,0.404,-0.437,0,1.145,0.036,-0.039,0,1719.46030,101.70560,-57.20940,0,5.41000,0.32000,-0.18000,0
Kepler-432 c,0,13.300,,,0,1.180,,,0,772.32690,69.92260,-76.27920,0,2.43000,0.22000,-0.24000,0
Kepler-433 b,0,16.250,1.790,-1.790,0,1.450,0.160,-0.160,0,896.24000,165.26000,-165.26000,0,2.82000,0.52000,-0.52000,0
Kepler-434 b,0,12.670,2.910,-2.020,0,1.130,0.260,-0.180,0,908.96000,111.24000,-111.24000,0,2.86000,0.35000,-0.35000,0
Kepler-435 b,0,22.310,2.020,-2.020,0,1.990,0.180,-0.180,0,266.97000,47.67000,-47.67000,0,0.84000,0.15000,-0.15000,0
Kepler-436 b,0,2.730,0.230,-0.240,0,0.240,0.020,-0.020,0,7.90000,,,0,0.02490,,,0
Kepler-436 c,0,2.330,0.190,-0.140,0,0.208,0.017,-0.012,0,6.04000,,,0,0.01900,,,0
Kepler-437 b,0,2.140,0.220,-0.170,0,0.190,0.020,-0.020,0,5.22000,,,0,0.01640,,,0
Kepler-438 b,0,1.120,0.160,-0.170,0,0.100,0.010,-0.020,0,1.46000,,,0,0.00459,,,0
Kepler-439 b,0,2.240,0.160,-0.450,0,0.200,0.010,-0.040,0,5.65000,,,0,0.01780,,,0
